glossaryID,use glossaryID,glossary term,,New term,termDefinition,courseID,courseName
955,896,Aeras Global TB Vaccine Foundation,,,"Formally known as the Sequella Global Tuberculosis Foundation, now focuses solely on developing new vaccines against tuberculosis and ensuring their availability to all who need them.",91,Tuberculosis – Advanced Concepts
1928,,Aerial photography,,,"The taking of photographs of the Earth’s surface from an elevated, “aerial” position. <br><br>Source: http://en.wikipedia.org/wiki/Aerial_photography, accessed June 2010.<hr>",97,Test
2067,,Aerial photography,,,Photography from airborne platforms. (Canada Centre for Remote Sensing),122,Geographic Approaches to Global Health
812,,After Action Review,,,"The AAR is a knowledge-sharing tool that has been increasingly used by the United States Agency for International Development (USAID) and its partner community to better understand important events, activities and/or programs. Overall, an AAR is a discussion of an event (or activity), led by people who are closest to the activity. It focuses on performance standards and enables planners to discover for themselves what happened, why it happened, and how to sustain strengths and improve on weaknesses. ",N	N,
956,,After Action Review,,,"The AAR is a knowledge-sharing tool that has been increasingly used by the United States Agency for International Development (USAID) and its partner community to better understand important events, activities and/or programs. Overall, an AAR is a discussion of an event (or activity), led by people who are closest to the activity. It focuses on performance standards and enables planners to discover for themselves what happened, why it happened, and how to sustain strengths and improve on weaknesses. ",91,Tuberculosis – Advanced Concepts
99,,Aggregate summary report,,,"A summary report that combines data from different facilities at the same level, or may combine data from different levels. ",9,Logistics for Health Commodities
3044,99,Aggregate summary report,,,"A summary report that combines data from different facilities at the same level, or may combine data from different levels. ",145,Logistics Revision
168,,AIDS,,,"Auto ImmunoDeficiency Syndrome (AIDS) is a severe immunological disorder, caused by infection with HIV, resulting in a defect in cell-mediated immune response.  This is manifested by increased susceptibility to opportunistic infections and to certain rare cancers, especially Kaposi's sarcoma.",N	N,
523,,AIDS,,,"Acquired Immune Deficiency Syndrome (AIDS), caused by infection with the Human Immunodeficiency Virus (HIV), is the final and most severe phase of HIV infection. With AIDS the immune system works poorly, and the patient may have various symptoms and diseases (e.g., diarrhea, fever, wasting, pneumonia).",22,Diarrheal Disease
1557,529,AIDS,,,See ‘Acquired Immunodeficiency Syndrome.’,118,HIV/AIDS Surveillance
2329,,Algorithm,,,"A list of well-defined instructions for completing a task. Starting from an initial state, the instructions describe a computation that proceeds through a well-defined series of successive states, eventually terminating in a final ending state.",125,Mortality Surveillance Methods and Strategies
2546,2329,Algorithm,,,"A list of well-defined instructions for completing a task. Starting from an initial state, the instructions describe a computation that proceeds through a well-defined series of successive states, eventually terminating in a final ending state.",136,Mortality Surveillance Methods & Strategies
69,,Amnionitis,,,Infected amnion (the thin tissue that covers the fetus),10,Antenatal Care
459,,Amnionitis,,, Infected amnion (the thin tissue that covers the fetus) ,N	N,
821,,Amnionitis,,,Infected amnion (the thin tissue that covers the fetus),N	N,
857,,Amnionitis,,,Infected amnion (the thin tissue that covers the fetus),N	N,
1477,69,Amnionitis,,,Infected amnion (the thin tissue that covers the fetus),113,Antenatal COPY
2170,,Amnionitis,,,Infected amnion (the thin tissue that covers the fetus),N	N,
1240,,Anaerobic bacteria,,,Bacteria that grow in places that have little or no oxygen ,104,Male Circumcision for HIV Prevention: Field Test
2205,,Anaerobic bacteria,,,Bacteria that grow in places that have little or no oxygen ,N	N,
2234,1240,Anaerobic bacteria,,,Bacteria that grow in places that have little or no oxygen ,130,Male Circumcision: Policy & Programming
70,573,Anemia,,,"Although different countries may have differing standards, WHO has considered hemoglobin <11 Gm to be anemia and hemoglobin < 7 Gm to be severe anemia",10,Antenatal Care
244,,Anemia,,,"Although different countries may have differing standards, the World Health Organization (WHO) has considered hemoglobin below 11 grams/dl of blood to be anemia and hemoglobin below 7 grams/dl of blood to be severe anemia.",N	N,
573,,Anemia,,,"A pathological deficiency in the oxygen-carrying component of the blood, measured in unit volume concentrations of hemoglobin, red blood cell volume, or red blood cell number",53,Maternal Survival – Programming Issues
822,,Anemia,,,"Although different countries may have differing standards, WHO has considered hemoglobin <11 Gm to be anemia and hemoglobin < 7 Gm to be severe anemia",N	N,
858,,Anemia,,,"Although different countries may have differing standards, WHO has considered hemoglobin <11 Gm to be anemia and hemoglobin < 7 Gm to be severe anemia",N	N,
1423,573,Anemia,,,"Lower than normal levels of hemoglobin (iron-containing, oxygen-carrying proteins) in the blood; anemia can lead to fatigue and increased risk of infection and hemorrhage.  Pregnant women and children are especially vulnerable to anemia. ",109,Demographic and Health Surveys: Data Use
1478,573,Anemia,,,"Although different countries may have differing standards, WHO has considered hemoglobin <11 Gm to be anemia and hemoglobin < 7 Gm to be severe anemia",113,Antenatal COPY
2171,,Anemia,,,"Although different countries may have differing standards, WHO has considered hemoglobin <11 Gm to be anemia and hemoglobin < 7 Gm to be severe anemia",N	N,
2513,573,Anemia,,,"Anemia is a condition in which the hemoglobin concentration in the blood is below a defined level,  resulting in a reduced oxygen-carrying capacity of red blood cells. Pregnant women, infants, and young children are particularly vulnerable to anemia. Anemia of all severities increases risks of maternal and perinatal mortality, preterm birth and low birth weight, impaired cognitive development in children, and reduced adult work productivity.",108,Nutrition (An Introduction)
2623,573,Anemia,,,"A pathological deficiency in the oxygen-carrying component of the blood, measured in unit volume concentrations of hemoglobin, red blood cell volume, or red blood cell number",137,Maternal Survival - Programming Issues (Updated)
2753,2790,Anemia,,Anemia in Malaria,"Anemia is a condition in which the body does not have enough healthy red blood cells, which provide oxygen to body tissues. In malaria, anemia is caused by the destruction of red blood cells by parasites.",138,Malaria (Updated)
2790,,Anemia,,Anemia in Malaria,"Anemia is a condition in which the body does not have enough healthy red blood cells, which provide oxygen to body tissues. In malaria, anemia is caused by the destruction of red blood cells by parasites.  World Health Organization defines hemoglobin levles <11 g/dL to be anemia.",140,Malaria in Pregnancy (Updated)
1460,,Anonymous,,,Without a name; undefined. The names and other identifying features of survey respondents are stripped from DHS questionnaire and biomarker samples.,109,Demographic and Health Surveys: Data Use
1560,,Anonymous,,,"Having no known name or identity. For example, removing all personally identifying information from a sample that will be tested for HIV, in order to protect the patient’s identity.",118,HIV/AIDS Surveillance
2296,,Answer to Component of Successful VR System #1,,,"Public Participation<br><br>

For a surveillance system to be effective, it is important to have the community to embrace and trust the system from the start.",125,Mortality Surveillance Methods and Strategies
2550,,Answer to Component of Successful VR System #1,,,"Public Participation<br><br>

For a surveillance system to be effective, it is important to have the community to embrace and trust the system from the start.",N	N,
2297,,Answer to Component of Successful VR System #2,,,"Government Support<BR><BR>

The local officials must educate their constituency in a positive way to participate in a census.",125,Mortality Surveillance Methods and Strategies
2551,,Answer to Component of Successful VR System #2,,,"Government Support<BR><BR>

The local officials must educate their constituency in a positive way to participate in a census.",N	N,
2298,,Answer to Component of Successful VR System #3,,,"Well-Designed and Structured System<BR><BR>
It is important to have input from many parties when designing a comprehensive monitoring system in order to take advantage of best practices and innovative ideas.",125,Mortality Surveillance Methods and Strategies
2552,,Answer to Component of Successful VR System #3,,,"Well-Designed and Structured System<BR><BR>
It is important to have input from many parties when designing a comprehensive monitoring system in order to take advantage of best practices and innovative ideas.",N	N,
2299,,Answer to Component of Successful VR System #4,,,"Data Management Systems and Practices<BR><BR>

It is important to have reliable methods of transferring and storing data. This makes it easier to access and analyze results in a timely manner.",125,Mortality Surveillance Methods and Strategies
2553,,Answer to Component of Successful VR System #4,,,"Data Management Systems and Practices<BR><BR>

It is important to have reliable methods of transferring and storing data. This makes it easier to access and analyze results in a timely manner.",N	N,
288,1929,Antenatal care (ANC),,,Care provided to a woman from the time of conception through the beginning of labor. The goal of ANC is to ensure that the pregnancy results in a healthy mother and healthy baby.,42,Postpartum Care
1929,,Antenatal care (ANC),,,"Antenatal care constitutes screening for health and socioeconomic conditions likely to increase the possibility of specific adverse pregnancy outcomes; providing therapeutic interventions known to be effective; and educating pregnant women about planning for safe birth, emergencies during pregnancy, and how to deal with them. Antenatal care coverage is an indicator of access and use of health care during pregnancy. <br><br>Source: World Health Organization, http://www.who.int/whosis/indicators/compendium/2008/3acf/en/index.html, accessed June 2010.<hr>",97,Test
2068,1929,Antenatal care (ANC),,,"Antenatal care constitutes screening for health and socioeconomic conditions likely to increase the possibility of specific adverse pregnancy outcomes; providing therapeutic interventions known to be effective; and educating pregnant women about planning for safe birth, emergencies during pregnancy, and how to deal with them. Antenatal care coverage is an indicator of access and use of health care during pregnancy. (WHO)",122,Geographic Approaches to Global Health
569,,Antiretroviral (ARV),,,A type of medication used in the treatment of HIV/AIDS and in the prevention of mother-to-child transmission of (PMTCT) of HIV,53,Maternal Survival – Programming Issues
581,569,Antiretroviral (ARV),,,A type of medication used in the treatment of HIV/AIDs and in the prevention of mother-to-child tranmission (PMTCT) of HIV,68,Family Planning 101
2624,569,Antiretroviral (ARV),,,A type of medication used in the treatment of HIV/AIDS and in the prevention of mother-to-child transmission of (PMTCT) of HIV,137,Maternal Survival - Programming Issues (Updated)
41,,Antiretroviral therapy (ART),,,"Treatment that suppresses or stops the activities of a retrovirus (i.e., a virus composed solely of RNA). Human immunodeficiency virus (HIV) is the retrovirus that causes AIDS.",N	N,
898,,Antiretroviral therapy (ART),,,"Treatment that suppresses or stops the activities of a retrovirus (i.e., a virus composed solely of RNA). Human immunodeficiency virus (HIV) is the retrovirus that causes AIDS.",90,Tuberculosis Basics (Updated)
957,898,Antiretroviral therapy (ART),,,"Treatment that suppresses or stops the activities of a retrovirus (i.e., a virus composed solely of RNA). Human immunodeficiency virus (HIV) is the retrovirus that causes AIDS.",91,Tuberculosis – Advanced Concepts
1562,898,Antiretroviral therapy (ART),,,Treatment with drugs that inhibit the ability of HIV to multiply in the body.,118,HIV/AIDS Surveillance
2069,,Antiretroviral therapy (ART) ,,Antiretroviral Therapy (ART) for HIV,Standard antiretroviral therapy (ART) consists of the use of at least three antiretroviral (ARV) drugs to maximally suppress the HIV virus and stop the progression of HIV disease. Huge reductions have been seen in rates of death and suffering when use is made of a potent ARV regimen. (WHO),122,Geographic Approaches to Global Health
2891,,Antiretroviral therapy (ART),,Antiretroviral Therapy (ART) for Youth,"ART, a treatment of HIV used with a regimen of multiple drugs, allows people infected with HIV at birth or in childhood to survive to adolescence and beyond.",107,Youth Reproductive Health and HIV/AIDS
1930,2069,Antiretroviral treatment (ART),,,"Standard antiretroviral therapy (ART) consists of the use of at least three antiretroviral (ARV) drugs to maximally suppress the HIV virus and stop the progression of HIV disease. Huge reductions have been seen in rates of death and suffering when use is made of a potent ARV regimen.<br><br>Source: World Health Organization, http://www.who.int/hiv/topics/treatment/en/index.html, accessed June 2010.<hr>",97,Test
2293,,Antiretroviral Treatment (ART),,,"Use of drugs to combat retroviruses, primarily HIV. Taken as a combination of drugs, ART can be effective in staving off the effects of HIV.",125,Mortality Surveillance Methods and Strategies
2554,,Antiretroviral Treatment (ART),,,"Use of drugs to combat retroviruses, primarily HIV. Taken as a combination of drugs, ART can be effective in staving off the effects of HIV.",136,Mortality Surveillance Methods & Strategies
1513,,Applicability,,,The relevance of an indicator to the PEPFAR program,116,PEPFAR NGI (old)
2039,1513,Applicability,,,The relevance of an indicator to the PEPFAR program.,127,PEPFAR Next Generation Indicator Guidance
1120,,Artemisinin,,,"Artemisinin-based drugs were first extracted by Chinese researchers from the sweet wormwood plant (Artemisia annua). Artemisinins were first used as a single-drug treatment, but concerns about the development of resistance to this new class of drugs led to the creation of artemisinin-based combination therapy (ACT), in which an artemisinin compound is combined with an existing antimalarial drug.",87,Malaria in Pregnancy
2757,1120,Artemisinin,,,"Artemisinin-based drugs were first extracted by Chinese researchers from the sweet wormwood plant (Artemisia annua). Artemisinins were first used as a single-drug treatment, but concerns about the development of resistance to this new class of drugs led to the creation of artemisinin-based combination therapy (ACT), in which an artemisinin compound is combined with an existing antimalarial drug.",140,Malaria in Pregnancy (Updated)
1064,,Artemisinin-based combination therapy (ACT),,,The simultaneous use of drugs that include a derivative of artemisinin along with another antimalarial drug,87,Malaria in Pregnancy
2758,1064,Artemisinin-based combination therapy (ACT),,,The simultaneous use of drugs that include a derivative of artemisinin along with another antimalarial drug,140,Malaria in Pregnancy (Updated)
361,,Asexual reproduction,,,"Part of the reproductive cycle of a parasite in which the parasite multiplies without the fusion of female and male gametes (i.e., equivalent of egg and sperm)",45,Malaria
2665,361,Asexual reproduction,,,"Part of the reproductive cycle of a parasite in which the parasite multiplies without the fusion of female and male gametes (i.e., equivalent of egg and sperm)",138,Malaria (Updated)
497,,Asphyxia,,,"An extreme decrease in the amount of oxygen in the body, usually caused in the newborn by a failure to breathe or to breathe effectively
",53,Maternal Survival – Programming Issues
664,497,Asphyxia,,,"Lack of oxygen, often due to failure to breathe or continue breathing",61,Emergency Obstetric and Newborn Care
2625,497,Asphyxia,,,"An extreme decrease in the amount of oxygen in the body, usually caused in the newborn by a failure to breathe or to breathe effectively
",137,Maternal Survival - Programming Issues (Updated)
184,,Average monthly consumption,,,"The quantify of a commodity used on average over a given period of time, calculated using the most recent dispensed-to-user data, usually over the last three or six months",9,Logistics for Health Commodities
3045,184,Average monthly consumption,,,"The quantify of a commodity used on average over a given period of time, calculated using the most recent dispensed-to-user data, usually over the last three or six months",145,Logistics Revision
15,,Bacille Calmette-Guérin (BCG) vaccine,,,"A vaccine for TB named after the French scientists Calmette and Guérin. To a varying extent, BCG vaccine protects infants infected with TB from progressing to more dangerous forms of the disease and gives them some protection against recurrence at a later age. BCG provides little protection against pulmonary TB. It is not recommended for adults.",N	N,
289,,Bacille Calmette-Guérin (BCG) vaccine,,,"A vaccine for TB named after the French scientists Calmette and Guérin. To a varying extent, BCG vaccine protects infants infected with TB from progressing to more dangerous forms of the disease and gives them some protection against recurrence at a later age. BCG provides little protection against pulmonary TB. It is not recommended for adults. ",43,Essential Newborn Care
899,289,Bacille Calmette-Guérin (BCG) vaccine,,,"A vaccine for TB named after the French scientists Calmette and Guérin. To a varying extent, BCG vaccine protects infants infected with TB from progressing to more dangerous forms of the disease and gives them some protection against recurrence at a later age. BCG provides little protection against pulmonary TB. It is not recommended for adults.",90,Tuberculosis Basics (Updated)
958,289,Bacille Calmette-Guérin (BCG) vaccine,,,"A vaccine for TB named after the French scientists Calmette and Guérin. To a varying extent, BCG vaccine protects infants infected with TB from progressing to more dangerous forms of the disease and gives them some protection against recurrence at a later age. BCG provides little protection against pulmonary TB. It is not recommended for adults.",91,Tuberculosis – Advanced Concepts
1090,289,Bacille Calmette-Guérin (BCG) vaccine,,,"A vaccine for tuberculosis (TB) named after the French scientists Calmette and Guérin. To a varying extent, BCG vaccine protects infants infected with TB from progressing to more dangerous forms of the disease and gives them some protection against recurrence at a later age. BCG provides little protection against pulmonary TB. It is not recommended for adults. ",84,Postpartum Family Planning
1257,,Bacterial vaginosis,,,"A condition in women where the normal balance of bacteria in the vagina is disrupted and replaced by an overgrowth of certain bacteria. Sometimes accompanied by discharge, odor, pain, itching, or burning.",104,Male Circumcision for HIV Prevention: Field Test
2206,,Bacterial vaginosis,,,"A condition in women where the normal balance of bacteria in the vagina is disrupted and replaced by an overgrowth of certain bacteria. Sometimes accompanied by discharge, odor, pain, itching, or burning.",N	N,
2235,1257,Bacterial vaginosis,,,"A condition in women where the normal balance of bacteria in the vagina is disrupted and replaced by an overgrowth of certain bacteria. Sometimes accompanied by discharge, odor, pain, itching, or burning.",130,Male Circumcision: Policy & Programming
1209,,Balanitis,,,Inflammation of the glans (head) of the penis,104,Male Circumcision for HIV Prevention: Field Test
2207,,Balanitis,,,Inflammation of the glans (head) of the penis,N	N,
2236,1209,Balanitis,,,Inflammation of the glans (head) of the penis,130,Male Circumcision: Policy & Programming
71,,Bartholin's glands (also called greater vestibular glands),,,"Two glands located slightly below and to the left and right of the opening of the vagina in women. These glands may secrete a purulent discharge if the woman has an STI, such as gonorrhea.",10,Antenatal Care
823,,Bartholin's glands (also called greater vestibular glands),,,"Two glands located slightly below and to the left and right of the opening of the vagina in women. These glands may secrete a purulent discharge if the woman has an STI, such as gonorrhea.",N	N,
859,,Bartholin's glands (also called greater vestibular glands),,,"Two glands located slightly below and to the left and right of the opening of the vagina in women. These glands may secrete a purulent discharge if the woman has an STI, such as gonorrhea.",N	N,
1479,71,Bartholin's glands (also called greater vestibular glands),,,"Two glands located slightly below and to the left and right of the opening of the vagina in women. These glands may secrete a purulent discharge if the woman has an STI, such as gonorrhea.",113,Antenatal COPY
2172,,Bartholin's glands (also called greater vestibular glands),,,"Two glands located slightly below and to the left and right of the opening of the vagina in women. These glands may secrete a purulent discharge if the woman has an STI, such as gonorrhea.",N	N,
1355,,Behavior change communication (BCC),,,"An interactive process aimed at changing social and individual behavior, using targeted, specific messages and different communication approaches, which is linked to services for effective outcomes. ",76,Commercial Private Health Sector Basics
2420,,Behavior change communication (BCC),,Behavior Change Communication for SBCC,"evidence-based, consultative effort to address individual knowledge, attitudes, behaviors, and social norms in a strategic manner. BCC operates though various intervention types, namely mass media, interpersonal and community based. This is one of the three key strategies for SBCC in C-Change's SBCC Framework.",110,Social and Behavior Change Communication
170,,Behavioral Surveillance ,,,"Behavioral Surveillance methodology is a monitoring method that combines serosurveillance in specific subpopulations with a survey of the risk behaviors in the population.  However, it is often difficult to determine the number of people in high-risk populations, and to obtain a representative sample of a particular high-risk population",N	N,
1564,,Behavioral surveillance,,,Surveys of HIV-related behavior that involve asking a sample of people about their risk behaviors such as their sexual and drug-injecting behavior.,118,HIV/AIDS Surveillance
1565,,Bias,,,A systematic error in the collection or interpretation of data.,118,HIV/AIDS Surveillance
1862,,Bias,,Survey Bias,Survey bias occurs when some members of the population are more likely to be included than others. Bias limits the accuracy of statistical measures.,109,Demographic and Health Surveys: Data Use
2516,,Bilateral pitting edema,,,"Also known as nutritional edema, kwashiorkor or edematous malnutrition, bilateral pitting edema is a sign of severe acute malnutrition (SAM). It is identified when thumb pressure, applied to the tops of both feet for 3 seconds, leaves an indentation in the foot after the thumb is lifted. It is considered mild when it is only in both feet (can include ankles) (Grade +); moderate when it is in both feet, lower legs, hands, or lower arms (Grade ++); and severe when it is in both feet, legs, hands, arms, and face (Grade +++).",N	N,
2700,,Bilateral pitting edema,,,"Known more commonly as bilateral pitting edema, but also known as nutritional edema and edematous malnutrition, kwashiorkor is a type of severe acute malnutrition (SAM). It is identified when thumb pressure, applied to the tops of both feet for three seconds, leaves an indentation in the foot after the thumb is lifted. It is considered mild when it is only in both feet (can include ankles) (Grade +); moderate when it is in both feet, lower legs, hands, or lower arms (Grade ++); and severe when it is in both feet, legs, hands, arms, and face (Grade +++).",108,Nutrition (An Introduction)
100,,Bin card,,,A stockkeeping record that keeps information about a single lot of a product by brand.,9,Logistics for Health Commodities
3046,100,Bin card,,,A stockkeeping record that keeps information about a single lot of a product by brand.,145,Logistics Revision
1011,,Bioavailability,,,The rate and extent of availability of an active ingredient from a dosage form as measured by its concentration/time curve in the systemic circulation or its excretion in the urine.,92,Drug Quality
2517,,Bioavailability,,,"Bioavailability is the amount of a nutrient eaten that is available in the body for normal physiological functions, including storage. ",N	N,
